> FRESH supplier chain fetched 2026-07-27 via MCP broad role (temp_user lacks
> supplier-schema grant). Format: sku|supplier|container|qty|arrived|expected|recv.
> 739 of 4,560 relevant SKUs have a supplier.order_items row; all others
> have NO supplier record in PostgreSQL (created in-system, not via a PO).
12UK3P10A|Adapters|Container 14|450|1|2025-12-10|2025-10-15
12UK3P2A|Adapters|Container 14|350|1|2025-12-10|2025-10-15
CBFF140BM|Ceiling rose guy|DE Container 03|1000|1||2025-08-18
CBSF75|Ceiling Bracket|DE Container 03|500|1||2025-08-15
CBSF95NA|Condieut pipelight accessoies||4000|0||2026-06-18
CBSFBM|Ceiling rose guy|Container 12|2500|1||2025-08-25
CBSFEARTH|Ceiling rose guy|Container 01 2026|2000|0|2026-01-30|2025-12-19
CF3B46BM|Ceiling Fan Supplier||50|0|2026-05-20|2026-05-11
CF3B52BM|Ceiling Fan Supplier||50|0|2026-05-20|2026-05-11
CF3BL52WO|Ceiling Fan Supplier||50|0|2026-05-20|2026-05-11
CFRGB420WH|Ceiling Fan 2 Supplier||102|0|2026-06-15|2026-05-20
CFRGB460WH|Ceiling Fan 2 Supplier||102|0|2026-06-15|2026-05-20
CFRGB480WH|Ceiling Fan 2 Supplier||102|0|2026-06-15|2026-05-20
CGFLBM|Assembling lady 1|Container 8|1000|1||2025-08-21
CL2RBW|Cable Supplier|Container 7|3|1||2025-08-20
CL2TBD|Cable Supplier|Container 12|3|1|2026-01-01|2025-09-22
CL2TGL|Cable Supplier|Container 11|9|1||2025-07-29
CL2TOR|Cable Supplier|Container 16|3|0|2026-02-05|2025-12-19
CL2TWH|Cable Supplier|Container 11|3|1||2025-07-29
CL3RAG|Cable Supplier|Container 14|3|0|2026-01-12|2025-10-23
CL3RBD|Cable Supplier|Container 16|3|0|2026-02-05|2025-12-19
CL3RBM|Cable Supplier|Container 11|3|1||2025-07-29
CL3RBW|Cable Supplier|Container 14|3|0|2026-01-12|2025-10-23
CL3RRE|Cable Supplier|Container 11|3|1||2025-07-29
CL3RWH|Cable Supplier|DE Container 03|3|1|2026-03-02|2025-08-18
CL3TAG|Cable Supplier|Container 14|6|0|2026-01-12|2025-10-23
CL3TBM|Cable Supplier|Container 7|3|1||2025-08-20
CL3TBR|Cable Supplier|Container 14|9|0|2026-01-12|2025-10-23
CL3TGD|Cable Supplier|Container 11|3|1||2025-07-29
CL3TGR|Cable Supplier|Container 11|3|1||2025-07-29
CL3TGY|Cable Supplier|Container 11|3|1||2025-07-29
CL3THE|Cable Supplier|DE Container 03|3|1|2026-03-02|2025-08-18
CL3TOR|Cable Supplier|Container 04 2026|3|0|2026-06-28|2026-06-01
CL3TWH|Cable Supplier|Container 7|12|1||2025-08-20
CO33PWH|Connector Supplier|Container 05 2026|500|0|2026-07-31|2026-07-06
CO532AGY|Connector Supplier|Container 05 2026|6000|0|2026-07-31|2026-07-06
CRFF100BM|Celing Rose Lady|Container 10|800|1|2025-11-12|2025-09-22
CRFF100CH|Celing Rose Lady|Container 10|200|1|2025-11-12|2025-09-22
CRFF100CO|Celing Rose Lady|Container 10|200|1|2025-11-12|2025-09-22
CRFF100GB|Celing Rose Lady|Container 17|300|0|2026-01-17|2025-12-19
CRFF100SN|Celing Rose Lady|Container 01 2026|200|0|2026-04-20|2026-03-10
CRFF100WH|Celing Rose Lady|Container 10|100|1|2025-11-12|2025-09-22
CRFF100YB|Celing Rose Lady|Container 01 2026|100|0|2026-04-20|2026-03-10
CRFF108BM|Celing Rose Lady|Container 10|200|1|2025-11-12|2025-09-22
CRFF108CH|Celing Rose Lady|Container 14|200|1|2025-11-22|2025-10-24
CRFF108WH|Celing Rose Lady|Container 10|200|1|2025-11-12|2025-09-22
CRFF108YB|Celing Rose Lady|Container 14|100|1|2025-11-22|2025-10-24
CRFF140BM|Celing Rose Lady|DE Container 03|200|1||2025-08-15
CRFF140CH|Electro plating Supplier|Container 08 2026|100|0||2026-07-23
CRFF140CO|Electro plating Supplier|Container 13|230|0|2025-11-23|2025-10-24
CRFF140GL|Black shade with border gold line supplier|DE Container 01 2026|1000|0|2026-01-10|2025-12-17
CRFF140RR|Celing Rose Lady|Container 10|50|1|2025-11-12|2025-09-22
CRFF2005BM|Celing Rose Lady|Container 01 2026|100|0|2026-04-20|2026-03-10
CRFF2008BM|Celing Rose Lady|Container 17|300|0|2026-01-17|2025-12-19
CRFF4002BM|Ceiling rose guy|Container 9|100|1||2025-11-12
CRFF5005BM|Ceiling rose guy|Container 12|50|1||2025-08-25
CRFF500BM|Ceiling rose guy|Container 12|500|1||2025-08-25
CRFF65BM|Condieut pipelight accessoies|Container 16|544|1||2026-01-26
CRFF65SN|Condieut pipelight accessoies|Container 03 2026|100|0|2026-06-19|2026-05-07
CRFF75BA|Ceiling rose guy|Container 01 2026|200|0|2026-01-30|2025-12-19
CRFF75GB|Ceiling rose guy|Container 12|200|1||2025-08-25
CRSF100BC|Pipe lightning Supplier|DE Container 03|100|0||2025-08-18
CRSF100BM|Celing Rose Lady|DE Container 03|1500|1||2025-08-15
CRSF100CH|Celing Rose Lady|DE Container 03|400|1||2025-08-15
CRSF100CO|Celing Rose Lady|DE Container 03|300|1||2025-08-15
CRSF100FG|Celing Rose Lady|Container 10|500|1|2025-11-12|2025-09-22
CRSF100GB|Celing Rose Lady|Container 14|500|1|2025-11-22|2025-10-24
CRSF100HBM|Ceiling rose guy|Container 9|800|1||2025-11-12
CRSF100HWH|Celing Rose Lady|Container 10|300|1|2025-11-12|2025-09-22
CRSF100RO|Ceiling rose guy|Container 9|200|1||2025-11-12
CRSF100SN|Celing Rose Lady|DE Container 03|100|1||2025-08-15
CRSF100WH|Celing Rose Lady|Container 17|100|0|2026-01-17|2025-12-19
CRSF100YB|Celing Rose Lady|Container 14|800|1|2025-11-22|2025-10-24
CRSF100YE|Multi colour shade supplier|Container 14|300|1|2025-12-04|2025-10-24
CRSF108BM|Ceiling rose guy|Container 9|400|1||2025-11-12
CRSF108CO|Ceiling rose guy|Container 01 2026|0|0|2026-01-30|2025-12-19
CRSF108SN|Ceiling rose guy|Container 01 2026|200|0|2026-01-30|2025-12-19
CRSF108WH|Ceiling rose guy|Container 03 2026|100|0||2026-05-07
CRSF108YB|Ceiling rose guy|Container 01 2026|200|0|2026-01-30|2025-12-19
CRSF1202BM|Celing Rose Lady|DE Container 03|400|1||2025-08-15
CRSF1203BM|Celing Rose Lady|Container 10|100|1|2025-11-12|2025-09-22
CRSF1204BM|Celing Rose Lady|Container 01 2026|100|0|2026-04-20|2026-03-10
CRSF1205BM|Celing Rose Lady|DE Container 01 2026|100|0|2026-01-17|2025-12-17
CRSF1206BM|Celing Rose Lady|Container 14|100|1|2025-11-22|2025-10-24
CRSF120BM|Ceiling rose guy|US Container 02|2000|1|2025-12-26|2025-11-27
CRSF120CO|Celing Rose Lady|Container 10|200|1|2025-11-12|2025-09-22
CRSF120HBM|Ceiling rose guy|US Container 02|500|1|2025-12-26|2025-11-27
CRSF120WH|Ceiling rose guy|Container 9|300|1||2025-11-12
CRSF120YB|Ceiling rose guy|US Container 02|300|1|2025-12-26|2025-11-27
CRSF2003BM|Celing Rose Lady|DE Container 03|300|1||2025-08-15
CRSF2003WH|Celing Rose Lady|Container 14|200|1|2025-11-22|2025-10-24
CRSFM100BR|Celing Rose Lady|Container 01 2026|104|0|2026-03-25|2026-03-24
CRSFM110080BM|Condieut pipelight accessoies|Container 17|201|1||2026-01-26
CRSFM110080CH|Condieut pipelight accessoies|Container 01 2026|205|0||2026-03-18
CRSFM110080CO|Condieut pipelight accessoies|Container 01 2026|200|0||2026-03-18
CRSFM110080SN|Condieut pipelight accessoies|Container 01 2026|199|0||2026-03-18
CRSFM110080WH|Condieut pipelight accessoies|Container 17|198|1||2026-01-26
CRSFM110080YB|Condieut pipelight accessoies|Container 01 2026|199|0||2026-03-18
CRSFM210080BM|Condieut pipelight accessoies|Container 01 2026|408|0||2026-03-18
CRSFM210080CH|Condieut pipelight accessoies|Container 01 2026|204|0||2026-03-18
CRSFM210080CO|Condieut pipelight accessoies|Container 01 2026|200|0||2026-03-18
CRSFM210080SN|Condieut pipelight accessoies|Container 01 2026|196|0||2026-03-18
CRSFM210080WH|Condieut pipelight accessoies|Container 01 2026|202|0||2026-03-18
CRSFM210080YB|Condieut pipelight accessoies|Container 01 2026|204|0||2026-03-18
CRSFML100BM|Celing Rose Lady|Container 01 2026|72|0|2026-03-25|2026-03-24
CRSFML100YB|Celing Rose Lady|Container 01 2026|84|0|2026-03-25|2026-03-24
CRSFX120BM|Ceiling rose guy|Container 01 2026|100|0||2026-03-10
CRSFX120YB|Ceiling rose guy|Container 01 2026|100|0||2026-03-10
CRSP1PRC48BM|Assembling lady 1|Container 01 2026|150|0|2026-04-11|2026-06-11
CRSP1PRC66BM|Assembling lady 1|Container 01 2026|150|0|2026-04-11|2026-06-11
CRSP2PRC48BM|Assembling lady 1|Container 01 2026|103|0|2026-04-11|2026-06-11
CRSP2PRC66BM|Assembling lady 1|Container 01 2026|100|0|2026-04-11|2026-06-11
CRSP60601BM|Condieut pipelight accessoies|Container 17|37|1||2026-01-26
CRSP60603BM|Condieut pipelight accessoies|Container 17|216|1||2026-01-26
CRSP60603WH|Condieut pipelight accessoies|Container 17|216|1||2026-01-26
CRSP60605BM|Condieut pipelight accessoies|Container 17|108|1||2026-01-26
CRSP60605WH|Condieut pipelight accessoies|Container 17|216|1||2026-01-26
CRSP80303BM|Condieut pipelight accessoies|Container 17|200|1||2026-01-26
CRSP80303CH|Condieut pipelight accessoies|Container 17|107|1||2026-01-26
CRSP80303SN|Condieut pipelight accessoies|Container 17|112|1||2026-01-26
CRSP80303WH|Condieut pipelight accessoies|Container 17|92|1||2026-01-26
CRSP80303YB|Condieut pipelight accessoies|Container 17|113|1||2026-01-26
CRSP80304BM|Condieut pipelight accessoies|Container 17|200|1||2026-01-26
CRSP80305BM|Condieut pipelight accessoies|Container 17|400|1||2026-01-26
CRSP80305CH|Condieut pipelight accessoies|Container 17|110|1||2026-01-26
CRSP80305CO|Condieut pipelight accessoies|Container 17|105|1||2026-01-26
CRSP80305SN|Condieut pipelight accessoies|Container 17|113|1||2026-01-26
CRSP80305WH|Condieut pipelight accessoies|Container 17|95|1||2026-01-26
CRSP80305YB|Condieut pipelight accessoies|Container 17|113|1||2026-01-26
HK10BM|Chain Supplier|Container 7|1000|1||2025-08-20
HK10GB|Chain Supplier|Container 7|1000|1||2025-08-20
HK10YB|Chain Supplier|Container 7|1000|1||2025-08-20
HKR10BM|Chain Supplier|Container 7|1500|1||2025-08-20
HLHG120CH|Handle Supplier|DE Container 03|500|1||2025-08-15
HRE1428BM|Bakelite holders|Container 01 2026|2000|0|2026-03-16|2025-12-04
HRE1428WH|Bakelite holders|Container 01 2026|2000|0|2026-03-16|2025-12-04
IMAC9820WW|Led Induction module supplier|Container 08 2026|2000|0||2026-07-23
IMACCW|Led Induction module supplier|Container 14|9000|1||2026-01-05
IMACGR|Led Induction module supplier|Container 14|3000|1||2026-01-05
IMACYE|Led Induction module supplier|Container 14|9000|1||2026-01-05
IMCW|Led Induction module supplier|Container 14|20000|1||2026-01-05
LAGLFL130AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LAGLWD150AR|Glass shade 2 Supplier||120|0|2026-05-15|2026-05-07
LDLIE14FL4|Bulbs supplier|DE Container 03|300|1||2025-09-09
LDLIE27RS4|Bulbs supplier|DE Container 03|200|1||2025-09-09
LDLIE27SR4|Bulbs supplier|DE Container 03|800|1||2025-09-09
LDLIE27SR8|Bulbs supplier|Container 8|300|1||2025-08-20
LDLIE27XM8|Bulbs supplier|Container 8|300|1||2025-08-20
LDMA60E274|Bulbs supplier|Container 02 2026|300|0|2026-04-20|2026-03-30
LDMA60E274WW|Bulbs supplier|Container 6|500|1||2025-07-17
LDMA60E278WW|Bulbs supplier|Container 6|500|1||2025-07-17
LDMC35E144|Bulbs supplier|Container 6|2000|1||2025-07-17
LDMG125E278|Bulbs supplier|Container 6|1500|1||2025-07-17
LDMG80E274|Bulbs supplier|Container 6|1000|1||2025-07-17
LDMG95E274|Bulbs supplier|Container 6|1800|1||2025-07-17
LDMG95E278|Bulbs supplier|Container 6|2000|1||2025-07-17
LDMST64E274|Bulbs supplier|Container 6|10000|1||2025-07-17
LDMST64E278|Bulbs supplier|Container 6|1000|1||2025-07-17
LDMT130E274|Bulbs supplier|Container 8|500|1||2025-08-20
LDMT185E273|Bulbs supplier|Container 04 2026|1500|0||2026-06-01
LDMT45E274|Bulbs supplier|Container 6|800|1||2025-07-17
LDSG125E274|Bulbs supplier|Container 16|500|0|2026-04-09|2026-02-17
LDSST64E274|New Bulb Supplier|Container 7|1000|0||2025-07-16
LDST45E274|Bulbs supplier|Container 8|500|1||2025-08-20
LDT185E274|Bulbs supplier|Container 01 2026|1000|0|2026-04-15|2026-03-10
LH2HTE27YB|Assembling lady 1|Container 01 2026|140|0|2026-04-11|2026-06-11
LHAHE27BM|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
LHAHE27CH|Assembling lady 1|DE Container 03|100|1||2025-08-18
LHAHE27GB|Assembling lady 1|Container 13|100|1|2025-12-03|2025-10-24
LHCCE27BM|Cable Supplier|Container 16|200|0|2026-02-05|2025-12-19
LHCCE27GR|Cable Supplier|Container 16|100|0|2026-02-05|2025-12-19
LHCCE27RE|Cable Supplier|Container 16|100|0|2026-02-05|2025-12-19
LHCCE27WH|Cable Supplier|Container 16|200|0|2026-02-05|2025-12-19
LHF3HT40BM|Assembling lady 1|Container 01 2026|140|0|2026-04-11|2026-06-11
LHF3HT40WH|Assembling lady 1|Container 01 2026|80|0|2026-04-11|2026-06-11
LHHTE27BM|Assembling lady 1|Container 01 2026|170|0|2026-04-11|2026-03-10
LHIFTE27BM|Assembling lady 1|Container 17|100|1|2026-01-23|2026-01-26
LHIFTE27CH|Assembling lady 1|Container 17|103|1|2026-01-23|2026-01-26
LHIFTE27YB|Assembling lady 1|Container 17|58|1|2026-01-23|2026-01-26
LHLAE2715DBM|Assembling lady 1|Container 05 2026|100|0||2026-07-06
LHLHTE27YB|Assembling lady 1|Container 01 2026|280|0|2026-04-11|2026-06-11
LHMHTE27YB|Assembling lady 1|Container 01 2026|160|0|2026-04-11|2026-06-11
LHNSE27BM|Cable Supplier|DE Container 03|300|1|2026-03-02|2025-08-18
LHNSE27BY|Cable Supplier|DE Container 02 2026|200|0|2026-06-20|2026-05-22
LHNSE27CH|Cable Supplier|Container 14|200|0|2026-01-12|2025-10-23
LHNSE27CO|Cable Supplier|Container 11|100|1||2025-07-29
LHNSE27FG|Cable Supplier|Container 11|100|1||2025-07-29
LHNSE27GB|Cable Supplier|Container 14|200|0|2026-01-12|2025-10-23
LHNSE27RO|Cable Supplier|Container 16|100|0|2026-02-05|2025-12-19
