No,ASIN,eBay IDs,SKU,Image Link,Images,Varmen Confirm,Adams Listing,Amazon,Ebay,Shopify,,19,11,57.89%
1,,,LHXBTF40E27WH,https://dashboard.digitweblk.com/Productimages/23822.jpg,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,
2,,,LHXBTF40E27BM,https://dashboard.digitweblk.com/Productimages/23823.jpg,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,
3,,,LHXBTH50E27WH,https://dashboard.digitweblk.com/Productimages/23824.jpg,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,
4,,,LHXBTH50E27BM,https://dashboard.digitweblk.com/Productimages/23825.jpg,,TRUE,TRUE,FALSE,FALSE,FALSE,,,,
5,,,LHXDE27WH,https://dashboard.digitweblk.com/Productimages/23742.jpg,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
6,,,LHXDE27BM,https://dashboard.digitweblk.com/Productimages/23741.jpg,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
7,,,PHXSH1PBRWH,https://dashboard.digitweblk.com/Productimages/23746.jpg,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
8,,,PHXSH1PBRBM,https://dashboard.digitweblk.com/Productimages/23740.jpg,,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
9,"B0GNZDWKJ6
B0GNZHGW4X
B0GNZB4BPN
B0GMHCHY7W
B0GMHCM3ND",,LHXSHE27WH,https://dashboard.digitweblk.com/Productimages/23739.png,,TRUE,TRUE,TRUE,FALSE,FALSE,dilani,,,
10,"B0GNZLCX15
B0GNYZMC5G
B0GNYRK2GT
B0GMHQTBSQ
B0GMHFZ7C1",,LHXSHE27BM,https://dashboard.digitweblk.com/Productimages/23738.png,,TRUE,TRUE,TRUE,FALSE,FALSE,dilani,,,
11,"B0GQ9WT3WS
B0GQBBSMWN
B0GQ9FS6YG
B0GQ9FTQYJ",,LHXCCE27WH,https://dashboard.digitweblk.com/Productimages/23743.png,,TRUE,TRUE,TRUE,FALSE,FALSE,,,,
12,"B0GQBCXGST
B0GQB28QMR
B0GQ98ZNZ9
B0GQ94Y1LJ",,LHXCCE27BM,https://dashboard.digitweblk.com/Productimages/23744.png,,TRUE,TRUE,TRUE,FALSE,FALSE,,,,
13,"B0GQ9XX4PM
B0GQ9Z91YX
B0GQ9GRVZZ
B0GQ92JN6Y",,LHXCCE27RR,https://dashboard.digitweblk.com/Productimages/23745.png,,TRUE,TRUE,TRUE,FALSE,FALSE,,,,
14,"B0GMGZJ8D5
B0GMG9FFYY",,LHXIM30B22WH,https://dashboard.digitweblk.com/Productimages/23737.jpg,,TRUE,TRUE,TRUE,FALSE,FALSE,Theepana,,,
15,"B0GLXRPL51
B0GP16QFYT
B0GNZRHMXW
B0GNZNKDD1
B0GP139NG9
B0GNZDJZGV
B0GNZ3DYVY
B0GNZPZ4YM
B0GNYVN663
B0GLZGC29N",,LHXWPE27PPWH,https://dashboard.digitweblk.com/Productimages/23736.jpg,,TRUE,TRUE,TRUE,FALSE,FALSE,dilani,,,
16,B0GR9GG6RY,,WJ018RB3PBM,https://dashboard.digitweblk.com/Productimages/23726.jpg,,TRUE,TRUE,TRUE,FALSE,FALSE,Thojika,,,
17,B0GLZ3VBC4,,WJ018PC3PBM,https://dashboard.digitweblk.com/Productimages/23727.jpeg,,TRUE,TRUE,TRUE,FALSE,FALSE,Preethi,,,
18,B0GNSJ14M4,,WJB603BM,https://dashboard.digitweblk.com/Productimages/23728.jpg,,TRUE,TRUE,TRUE,FALSE,FALSE,Preethi,,,
19,B0DN687J6W,,WJM6332BM,https://dashboard.digitweblk.com/Productimages/23729.jpg,,TRUE,TRUE,TRUE,FALSE,FALSE,Preethi,,,
